t,x
0.7120000000000001,-0.445421
0.7130000000000001,-0.731384
0.7140000000000001,-0.518458
0.7150000000000001,-0.434837
0.7160000000000001,-0.770807
0.7170000000000001,-0.645142
0.7180000000000001,-0.186786
0.7190000000000001,-0.603857
0.7200000000000001,-0.576804
0.7210000000000001,-0.303102
0.7220000000000001,-0.529727
0.7230000000000001,-0.185365
0.7240000000000001,-0.440403
0.7250000000000001,-0.318432
0.7260000000000001,-0.26089
0.7270000000000001,-0.472199
0.7280000000000001,-0.553068
0.7290000000000001,-0.185608
0.7300000000000001,-0.129336
0.7310000000000001,-0.321155
0.7320000000000001,-0.353012
0.7330000000000001,-0.339373
0.7340000000000001,-0.421742
0.7350000000000001,-0.323803
0.7360000000000001,-0.724499
0.7370000000000001,-0.442871
0.7380000000000001,-0.874682
0.7390000000000001,-0.510098
0.7400000000000001,-0.484872
0.7410000000000001,-0.389739
0.7420000000000001,-0.429856
0.7430000000000001,-0.223716
0.7440000000000001,-0.50806
0.7450000000000001,-0.469553
0.7460000000000001,-0.486701
0.7470000000000001,-0.637482
0.7480000000000001,-0.421257
0.7490000000000001,-0.137807
0.7500000000000001,0.093349
0.7510000000000001,-0.367223
0.7520000000000001,-0.5526
0.7530000000000001,-0.553072
0.7540000000000001,-0.578864
0.7550000000000001,-0.676815
0.7560000000000001,-0.473091
0.7570000000000001,-0.439383
0.758,-0.327403
0.759,-0.429235
0.76,-0.215426
0.761,-0.464815
0.762,-0.637476
0.763,-0.548296
0.764,-0.49503
0.765,-0.392686
0.766,-0.43514
0.767,-0.673276
0.768,-0.673058
0.769,-0.400686
0.77,-0.587124
0.771,-0.690416
0.772,-0.153732
0.773,-0.327778
0.774,-0.251288
0.775,-0.26832
0.776,-0.146342
0.777,-0.481494
0.778,-0.684033
0.779,-0.656512
0.78,-0.748503
0.781,-0.436777
0.782,-0.146612
0.783,-0.261243
0.784,-0.321027
0.785,-0.172794
0.786,-0.508826
0.787,-0.597301
0.788,-0.685401
0.789,-0.412768
0.79,-0.458267
0.791,-0.550078
0.792,-0.295192
0.793,-0.396562
0.794,-0.474549
0.795,-0.197341
0.796,-0.149615
0.797,-0.200765
0.798,-0.482215
0.799,-0.596537
0.8,-0.258146
0.801,-0.348197
0.802,-0.29913
0.803,-0.670566
0.804,-0.549425
0.805,-0.26761
0.806,-0.717789
0.807,-0.36351
0.808,-0.416754
0.809,-0.399493
0.81,-0.499421
0.811,-0.470134
0.812,-0.469626
0.8130000000000001,-0.491658
0.8140000000000001,-0.391147
0.8150000000000001,-0.417803
0.8160000000000001,-0.28209
0.8170000000000001,-0.283689
0.8180000000000001,-0.367436
0.8190000000000001,-0.183355
0.8200000000000001,-0.576537
0.8210000000000001,-0.424814
0.8220000000000001,-0.107055
0.8230000000000001,-0.533587
0.8240000000000001,-0.375621
0.8250000000000001,-0.640675
0.8260000000000001,-0.438579
0.8270000000000001,-0.632128
0.8280000000000001,-0.523995
0.8290000000000001,-0.531913
0.8300000000000001,-0.443107
0.8310000000000001,-0.470838
0.8320000000000001,-0.119624
0.8330000000000001,-0.396043
0.8340000000000001,-0.120542
0.8350000000000001,-0.390861
0.8360000000000001,-0.105498
0.8370000000000001,-0.439146
0.8380000000000001,-0.387815
0.8390000000000001,-0.59221
0.8400000000000001,-0.761729
0.8410000000000001,-0.269964
0.8420000000000001,-0.805246
0.8430000000000001,-0.583694
0.8440000000000001,0.094438
0.8450000000000001,-0.45307
0.8460000000000001,-0.630805
0.8470000000000001,-0.488104
0.8480000000000001,-0.905351
0.8490000000000001,-0.372255
0.8500000000000001,-0.475112
0.8510000000000001,-0.307837
0.8520000000000001,-0.951638
0.8530000000000001,-0.266865
0.8540000000000001,-0.440236
0.8550000000000001,-0.832061
0.8560000000000001,-0.21124
0.8570000000000001,-0.362052
0.8580000000000001,-0.065655
0.8590000000000001,-0.502621
0.8600000000000001,-0.143506
0.8610000000000001,-0.330305
0.8620000000000001,-0.251169
0.8630000000000001,-0.583118
0.8640000000000001,-0.379507
0.8650000000000001,-0.387494
0.8660000000000001,-0.118147
0.8670000000000001,-0.435394
0.8680000000000001,-0.417796
0.8690000000000001,-0.495416
0.8700000000000001,-0.3022
0.8710000000000001,-0.553979
0.8720000000000001,-0.394358
0.8730000000000001,-0.616088
0.8740000000000001,-0.523472
0.8750000000000001,-0.426031
0.8760000000000001,-0.63475
0.8770000000000001,-0.949198
0.8780000000000001,-0.403218
0.8790000000000001,-0.366177
0.8800000000000001,-0.559846
0.8810000000000001,-0.483969
