x,p,pconv
-1.1861861861861862,3.9448044827287246e-11,2.714752660548741e-06
-1.1761761761761762,6.507139070904221e-11,3.988821539464494e-06
-1.1661661661661662,1.0733829540469034e-10,5.826112641646669e-06
-1.1561561561561562,1.770595270032174e-10,8.458779577090816e-06
-1.1461461461461462,2.9206795193091135e-10,1.2206994932886684e-05
-1.1361361361361362,4.817797154940275e-10,1.7509049546491433e-05
-1.1261261261261262,7.947181220225493e-10,2.4960446262088594e-05
-1.1161161161161162,1.3109246262545835e-09,3.536419891368033e-05
-1.1061061061061062,2.162431342759739e-09,4.979492793428755e-05
-1.0960960960960962,3.5670314055429e-09,6.967973693319399e-05
-1.0860860860860861,5.8839847520389225e-09,9.689924030044943e-05
-1.0760760760760761,9.705907413214155e-09,0.00013391246375513976
-1.0660660660660661,1.6010347185424238e-08,0.00018390962329718194
-1.0560560560560561,2.640981477412801e-08,0.0002509969606693723
-1.0460460460460461,4.3564221832661564e-08,0.0003404178247250977
-1.0360360360360361,7.186121675281643e-08,0.0004588139806678972
-1.026026026026026,1.1853843029794725e-07,0.000614530640607546
-1.016016016016016,1.9553467214219675e-07,0.0008179678747963233
-1.006006006006006,3.225435659444402e-07,0.001081979820754438
-0.9959959959959956,5.320506628947207e-07,0.001422321401880658
-0.9859859859859856,8.776423955561628e-07,0.0018581400560274527
-0.9759759759759756,1.4477120849485237e-06,0.002412507236213784
-0.9659659659659656,2.3880686387966095e-06,0.0031129811862904326
-0.9559559559559556,3.939230654282111e-06,0.003992188755332402
-0.9459459459459456,6.497944780789648e-06,0.005088409879101976
-0.9359359359359356,1.0718663129891347e-05,0.006446143955564379
-0.9259259259259256,1.7680934998362734e-05,0.008116632854730415
-0.9159159159159156,2.916552732630726e-05,0.010158310961633494
-0.9059059059059056,4.810989827745786e-05,0.012637148731649542
-0.8958958958958956,7.935952216367475e-05,0.015626853053952353
-0.8858858858858856,0.0001309072349670237,0.01920888561059898
-0.8758758758758756,0.00021593759261009682,0.023472259731382072
-0.8658658658658656,0.0003561991353189171,0.0285130773089267
-0.8558558558558556,0.0005875670950497182,0.03443377044500102
-0.8458458458458455,0.0009692193409623645,0.041342017870637966
-0.8358358358358355,0.0015901511948757856,0.049349313947683916
-0.8258258258258255,0.0025511647470930756,0.058569178226089924
-0.8158158158158155,0.003999766143307624,0.06911500596711578
-0.8058058058058055,0.006131988088768934,0.08109757446012493
-0.7957957957957955,0.009198348553634154,0.09462223591209004
-0.7857857857857855,0.013509154842432683,0.10978584457165849
-0.7757757757757755,0.019436622788327734,0.1266734828230969
-0.7657657657657655,0.027412518975769753,0.14535506740013876
-0.7557557557557555,0.037920185308342805,0.16588193170741064
-0.7457457457457455,0.051480152976782344,0.1882834925604093
-0.7357357357357355,0.06862908922636889,0.21256411856421556
-0.7257257257257255,0.08989250417643932,0.23870032204410796
-0.7157157157157155,0.11575240376364876,0.2666383962725932
-0.7057057057057055,0.14661181313975297,0.2962926142724449
-0.6956956956956954,0.1827587079646258,0.32754409453461497
-0.6856856856856854,0.22433228228926455,0.3602404226795542
-0.6756756756756754,0.2712945790285709,0.3941960968165161
-0.6656656656656654,0.323410278079517,0.42919383881829865
