f,S
153.333333333333,5.662280464493936e-05
154,4.141149941043246e-05
154.666666666667,3.705000625901085e-05
155.333333333333,6.056582632405426e-05
156,5.326387678167832e-05
156.666666666667,4.296847918682395e-05
157.333333333333,3.801691292121323e-05
158,6.408703294081898e-05
158.666666666667,4.611912766400534e-05
159.333333333333,5.650310004163848e-05
160,8.846858591199521e-05
160.666666666667,4.678383376871405e-05
161.333333333333,4.525408374091515e-05
162,4.000223746364647e-05
162.666666666667,4.691838752650031e-05
163.333333333333,4.609111645889892e-05
164,4.013641120043268e-05
164.666666666667,3.712841374244512e-05
165.333333333333,4.455133798021954e-05
166,3.17732485390757e-05
166.666666666667,5.750100949118087e-05
167.333333333333,5.987674874055294e-05
168,4.688888359476091e-05
168.666666666667,2.860453876991536e-05
169.333333333333,4.394259718828743e-05
170,4.440122065954146e-05
170.666666666667,3.6863630423597e-05
171.333333333333,2.269169315625061e-05
172,4.817050528715645e-05
172.666666666667,4.735136527402023e-05
173.333333333333,4.671027401739303e-05
174,6.388210270362269e-05
174.666666666667,3.532798802959183e-05
175.333333333333,4.234771411328261e-05
176,4.279612552721286e-05
176.666666666667,4.207183391610509e-05
177.333333333333,4.403972976204694e-05
178,4.514472512507773e-05
178.666666666667,3.921670587926386e-05
179.333333333333,3.525693782982373e-05
180,5.983685733295861e-05
180.666666666667,4.293830132764348e-05
181.333333333333,5.001883170517531e-05
182,3.448931624821896e-05
182.666666666667,4.446086575660884e-05
183.333333333333,4.630109145010979e-05
184,3.787148249395099e-05
184.666666666667,3.228929789573069e-05
185.333333333333,4.062455071017153e-05
186,6.530214549682609e-05
186.666666666667,3.71870300256767e-05
187.333333333333,3.965435509976196e-05
188,5.301314058116595e-05
188.666666666667,3.937149445521511e-05
189.333333333333,6.564324419797463e-05
190,5.500042033282473e-05
190.666666666667,4.596762787840605e-05
191.333333333333,5.148057806202114e-05
192,3.271459398416518e-05
192.666666666667,4.276892860818629e-05
193.333333333333,3.11676868995553e-05
194,5.992235423524585e-05
194.666666666667,4.77078734220703e-05
195.333333333333,3.866236237299814e-05
196,3.406581851404027e-05
196.666666666667,2.651272662212427e-05
197.333333333333,4.892363030463504e-05
198,4.777132937770079e-05
198.666666666667,3.287419094096279e-05
199.333333333333,5.836997209073999e-05
200,4.559690637080832e-05
200.666666666667,5.159591958922178e-05
201.333333333333,4.241303696748445e-05
202,3.998276510941442e-05
202.666666666667,3.469324407135952e-05
203.333333333333,4.136475110351764e-05
204,5.154369792490526e-05
204.666666666667,4.181420824476662e-05
205.333333333333,4.788430961009515e-05
206,3.413578403569712e-05
206.666666666667,6.005707436944068e-05
207.333333333333,2.768214600406563e-05
208,1.692725561268997e-05
208.666666666667,3.814414082143264e-05
209.333333333333,4.780876905360139e-05
210,5.425763773675723e-05
210.666666666667,3.828036166173927e-05
211.333333333333,5.371662343824034e-05
212,4.403270571319996e-05
212.666666666667,4.480659569865568e-05
213.333333333333,3.505836531776339e-05
214,6.835569587564303e-05
214.666666666667,4.84290282709204e-05
215.333333333333,5.634789703091877e-05
216,4.444519342968721e-05
216.666666666667,2.462273496229908e-05
217.333333333333,3.483219861009921e-05
218,4.218879210546878e-05
218.666666666667,3.657083969183412e-05
219.333333333333,4.624875590915449e-05
220,5.219919455372485e-05
220.666666666667,6.808937976949396e-05
221.333333333333,5.541279647201459e-05
222,3.593005746504001e-05
222.666666666667,2.92255447246867e-05
223.333333333333,3.539549447754548e-05
224,4.161772663234478e-05
224.666666666667,3.667283641018331e-05
225.333333333333,4.818380645151604e-05
226,4.288151433337903e-05
226.666666666667,2.500859759089631e-05
227.333333333333,5.123681638367604e-05
228,4.822772856748896e-05
228.666666666667,3.43209364746378e-05
229.333333333333,5.434236829576855e-05
230,3.252796985760128e-05
230.666666666667,3.601015655395466e-05
231.333333333333,5.197603828873483e-05
232,6.064150886992975e-05
232.666666666667,2.419716426881568e-05
233.333333333333,6.994038508538088e-05
234,5.303978882677068e-05
234.666666666667,4.737088166541722e-05
235.333333333333,3.296141983095631e-05
236,3.07719326653088e-05
236.666666666667,5.054798074670792e-05
237.333333333333,3.921080977469563e-05
238,4.450378762058709e-05
238.666666666667,4.821128473566377e-05
239.333333333333,5.161112175672825e-05
240,3.75876128297789e-05
240.666666666667,4.586183936869868e-05
241.333333333333,3.518087994078498e-05
242,3.607329417993815e-05
242.666666666667,4.074887076734996e-05
243.333333333333,4.684806633719557e-05
244,4.640036125772185e-05
244.666666666667,3.740543442917946e-05
245.333333333333,4.871091196350575e-05
246,3.605712512339011e-05
246.666666666667,3.922974939890668e-05
247.333333333333,3.568476888348478e-05
248,4.658496144052629e-05
248.666666666667,2.734588433959776e-05
249.333333333333,3.450919449635193e-05
250,5.620782792687026e-05
250.666666666667,2.622810153951537e-05
251.333333333333,2.80693503431211e-05
252,3.487002184440853e-05
252.666666666667,5.522252398372916e-05
253.333333333333,3.057145670308349e-05
254,2.754868670851369e-05
