t,x
0.8480000000000001,0.156438
0.8490000000000001,-0.160524
0.8500000000000001,0.217128
0.8510000000000001,0.042961
0.8520000000000001,-0.06083
0.8530000000000001,-0.138685
0.8540000000000001,0.064724
0.8550000000000001,0.147025
0.8560000000000001,-0.106037
0.8570000000000001,-0.143324
0.8580000000000001,0.068004
0.8590000000000001,0.079735
0.8600000000000001,0.38919
0.8610000000000001,0.101015
0.8620000000000001,0.179759
0.8630000000000001,0.286664
0.8640000000000001,-0.204092
0.8650000000000001,-0.379117
0.8660000000000001,0.084024
0.8670000000000001,0.075307
0.8680000000000001,-0.085204
0.8690000000000001,-0.111152
0.8700000000000001,-0.132491
0.8710000000000001,0.194454
0.8720000000000001,-0.294027
0.8730000000000001,-0.323889
0.8740000000000001,0.188086
0.8750000000000001,-0.071376
0.8760000000000001,0.321105
0.8770000000000001,0.054225
0.8780000000000001,0.255167
0.8790000000000001,-0.330078
0.8800000000000001,-0.140059
0.8810000000000001,0.200436
0.8820000000000001,-0.306795
0.8830000000000001,-0.210631
0.8840000000000001,0.066046
0.8850000000000001,0.170313
0.8860000000000001,0.374808
0.8870000000000001,0.05581
0.8880000000000001,-0.11661
0.8890000000000001,0.116439
0.8900000000000001,-0.000817
0.8910000000000001,0.074514
0.8920000000000001,-0.162816
0.8930000000000001,-0.121477
0.8940000000000001,0.162287
0.895,0.096874
0.896,0.452381
0.897,-0.015103
0.898,0.310632
0.899,-0.096396
0.9,0.171609
0.901,0.016725
0.902,-0.025652
0.903,-0.15008
0.904,-0.063795
0.905,-0.065329
0.906,-0.203232
0.907,-0.211777
0.908,0.166169
0.909,-0.195519
0.91,0.326644
0.911,0.172999
0.912,-0.065583
0.913,-0.062364
0.914,0.117958
0.915,0.258568
0.916,0.073362
0.917,-0.143679
0.918,-0.12295
0.919,-0.215011
0.92,-0.241381
0.921,0.184973
0.922,-0.245375
0.923,0.066712
0.924,-0.013966
0.925,0.036513
0.926,-0.423599
0.927,0.104564
0.928,0.043976
0.929,-0.069675
0.93,-0.196766
0.931,-0.006324
0.932,0.13534
0.933,0.109234
0.934,-0.014629
0.935,-0.061174
0.936,0.035173
0.937,-0.238619
0.938,-0.149778
0.939,-0.155856
0.94,-0.14256
0.941,0.029395
0.942,-0.041059
0.943,0.020449
0.944,-0.099582
0.945,-0.051125
0.946,-0.123572
0.947,0.165703
0.948,0.145027
0.949,0.278879
0.95,0.043964
0.951,0.186691
0.952,0.142154
0.953,0.077497
0.954,-0.071547
0.955,0.198899
0.956,0.057017
0.957,-0.06026
0.958,-0.192065
0.959,-0.253388
0.96,-0.285271
0.961,0.076549
0.962,0.003855
0.963,-0.210294
0.964,-0.365354
0.965,0.203465
0.966,0.236093
0.967,-0.061298
0.968,-0.075091
0.969,-0.017033
0.97,-0.062561
0.971,0.052327
0.972,0.157449
0.973,0.074537
0.974,-0.165577
0.975,0.537844
0.976,-0.223694
0.977,-0.046554
0.978,0.183577
0.979,0.228816
0.98,0.131188
0.981,0.001688
0.982,0.212986
0.983,-0.017833
0.984,-0.330499
0.985,0.21413
0.986,-0.473261
0.987,0.160899
0.988,-0.10086
0.989,0.080062
0.99,0.103785
0.991,-0.098018
0.992,0.289213
0.993,0.306919
0.994,-0.169418
0.995,0.31488
0.996,-0.125091
0.997,-0.031867
0.998,0.214413
0.999,-0.05958
1.0,-0.054658
1.001,0.319205
1.002,0.325362
1.003,-0.076747
1.004,0.039926
1.005,0.046524
1.006,0.274289
1.007,0.07161
1.008,0.430245
1.009,0.018213
1.01,0.234093
1.011,-0.096643
1.012,0.336053
1.013,0.348201
1.014,-0.147683
1.015,-0.024734
1.016,0.107689
1.017,0.212707
1.018,0.226443
1.019,0.192001
1.02,-0.206632
1.021,-0.099775
1.022,-0.126952
1.023,0.091884
1.024,0.194625
1.025,0.542881
1.026,0.122258
1.027,-0.10648
1.028,-0.465193
1.029,0.101821
1.03,-0.000126
1.031,-0.064733
1.032,0.183953
1.033,0.032154
1.034,-0.060983
1.035,0.107885
1.036,-0.16047
1.037,0.47872
1.038,-0.397104
1.039,-0.167688
1.04,0.100102
1.041,-0.320316
1.042,-0.024604
1.043,-0.130358
1.044,0.107589
1.0450000000000002,0.064496
1.046,0.250848
1.0470000000000002,-0.149904
1.048,-0.299625
1.0490000000000002,-0.038828
1.05,0.032518
1.0510000000000002,-0.106593
1.052,-0.127151
1.0530000000000002,-0.343971
1.054,0.148118
1.0550000000000002,0.025206
1.056,-0.002519
1.0570000000000002,-0.153048
1.058,0.075382
1.0590000000000002,-0.290048
1.06,0.363841
1.0610000000000002,0.00645
1.062,-0.114896
1.0630000000000002,-0.036778
1.064,0.059376
1.0650000000000002,-0.073612
1.066,0.163573
1.0670000000000002,0.131908
1.068,0.152388
1.0690000000000002,-0.018653
1.07,-0.291751
1.0710000000000002,0.148615
1.072,0.115379
1.0730000000000002,0.081568
1.074,-0.088454
1.0750000000000002,0.104877
1.076,0.129958
1.0770000000000002,0.093351
1.078,-0.003594
1.0790000000000002,-0.060938
1.08,0.081594
1.0810000000000002,0.108574
1.082,-0.048271
