x,i,t,m,s
-0.33266533066132276,0.6375412830466085,0.6695863210535383,0.7019076942504093,0.6547243714570239
-0.3126252505010023,0.6191837484677106,0.626031651907512,0.6262785050422104,0.5849712173780212
-0.29258517034068143,0.6010376760894668,0.5867732577238058,0.5574316713726671,0.5214845908446806
-0.272545090180361,0.5833944281594499,0.5517457687604034,0.49585248724401926,0.4647204260259356
-0.2525050100200401,0.566493109262692,0.5207509644464626,0.44156657034575275,0.4147093759213716
-0.23246492985971967,0.5505262221891076,0.49351907955900826,0.39428962985274735,0.37119530520655714
-0.2124248496993988,0.5356457359296594,0.46975123729112356,0.35354915694295713,0.33374790241955493
-0.19238476953907835,0.5219691879761041,0.4491472702393837,0.3187772026313349,0.301848617520079
-0.17234468937875747,0.5095855495739721,0.4314228648099668,0.28937709383523635,0.27495254550180387
-0.15230460921843703,0.4985606718984019,0.4163192853318901,0.2647686264100589,0.252530443722908
-0.1322645290581166,0.48894220239395175,0.403608185559532,0.24441664922094142,0.23409542347351484
